Countries and areas,Latitude ,Longitude,OOSR_Pre0Primary_Age_Male,OOSR_Pre0Primary_Age_Female,OOSR_Primary_Age_Male,OOSR_Primary_Age_Female,OOSR_Lower_Secondary_Age_Male,OOSR_Lower_Secondary_Age_Female,OOSR_Upper_Secondary_Age_Male,OOSR_Upper_Secondary_Age_Female,Completion_Rate_Primary_Male,Completion_Rate_Primary_Female,Completion_Rate_Lower_Secondary_Male,Completion_Rate_Lower_Secondary_Female,Completion_Rate_Upper_Secondary_Male,Completion_Rate_Upper_Secondary_Female,Grade_2_3_Proficiency_Reading,Grade_2_3_Proficiency_Math,Primary_End_Proficiency_Reading,Primary_End_Proficiency_Math,Lower_Secondary_End_Proficiency_Reading,Lower_Secondary_End_Proficiency_Math,Youth_15_24_Literacy_Rate_Male,Youth_15_24_Literacy_Rate_Female,Birth_Rate,Gross_Primary_Education_Enrollment,Gross_Tertiary_Education_Enrollment,Unemployment_Rate
Saint Vincent and the Grenadines,12.984305,61.287228,9,3,0,0,1,2,16,14,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,0,0,0,0,14.24,very high,very low,high
Samoa,13.759029,172.104629,65,65,0,0,0,0,15,5,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,0,0,99,99,24.38,very high,extremely low,low
San Marino,43.94236,12.457777,12,14,0,0,0,0,51,57,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,0,0,100,100,6.8,very high,moderately low,extremely low
Sï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,0.18636,6.613081,49,46,6,6,12,7,19,16,very high,extremely high,moderately low,moderately low,extremely low,extremely low,0,0,0,0,0,0,98,98,31.54,very high,extremely low,moderate
Saudi Arabia,23.885942,45.079162,51,48,1,3,0,3,3,9,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,63,16,0,0,48,11,0,0,17.8,high,moderate,very low
Senegal,14.497401,14.452362,85,83,30,21,0,0,0,0,moderate,moderate,low,low,very low,extremely low,29,63,35,29,9,8,0,0,34.52,moderately high,extremely low,low
Serbia,44.016521,21.005859,9,10,2,2,2,2,14,11,ultra high,ultra high,ultra high,ultra high,very high,extremely high,0,0,0,72,62,60,0,0,9.2,high,moderate,moderate
Seychelles,4.679574,55.491977,9,6,0,0,0,0,24,12,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,0,0,99,100,17.1,high,very low,extremely low
Sierra Leone,8.460555,11.779889,58,57,2,2,49,49,64,67,high,high,moderate,moderate,low,very low,6,0,0,0,0,0,71,63,33.41,very high,extremely low,very low
Singapore,1.352083,103.819836,0,0,0,0,0,1,0,0,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,97,93,0,0,89,94,100,100,8.8,high,high,very low
Slovakia,48.669026,19.699024,15,17,5,4,5,5,11,11,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,93,65,69,75,0,0,10.6,high,moderately low,very low
Slovenia,46.151241,14.995463,5,6,1,0,2,1,2,1,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,96,75,0,0,82,84,0,0,9.4,high,moderately high,very low
Solomon Islands,9.64571,160.156194,36,33,9,4,0,0,0,0,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,0,0,0,0,32.44,very high,extremely low,extremely low
Somalia,5.152149,46.199616,0,0,0,0,0,0,0,0,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,0,0,0,0,41.75,very low,extremely low,moderately low
South Africa,30.559482,22.937506,28,27,12,10,16,13,22,20,ultra high,ultra high,extremely high,ultra high,moderate,moderately high,22,0,0,13,0,0,0,0,20.51,high,very low,ultra high
South Sudan,6.8769919,31.3069788,78,81,58,67,49,63,57,72,moderately low,very low,low,extremely low,very low,extremely low,0,0,0,0,0,0,48,47,35.01,moderately high,extremely low,moderate
Spain,40.463667,3.74922,5,5,3,3,1,1,2,1,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,97,67,0,0,84,75,100,100,7.9,very high,high,moderate
Sri Lanka,7.873054,80.771797,0,0,2,3,0,0,18,13,ultra high,ultra high,ultra high,ultra high,moderately low,moderate,0,0,0,0,0,0,99,99,15.83,high,very low,very low
Palestinian National Authority,31.952162,35.233154,35,34,3,3,4,1,32,18,ultra high,ultra high,very high,ultra high,moderately high,very high,0,0,0,0,0,0,99,99,0.0,extremely low,extremely low,extremely low
Sudan,12.862807,30.217636,60,60,31,35,33,35,53,50,high,high,moderate,moderately high,moderately low,low,0,0,0,0,0,0,73,73,32.18,moderately high,very low,moderately high
Suriname,3.919305,56.027783,12,10,14,11,19,11,42,34,very high,extremely high,moderate,moderately high,very low,low,30,0,0,0,0,0,99,98,18.54,very high,extremely low,low
Sweden,60.128161,18.643501,0,0,0,0,0,0,1,3,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,98,75,0,0,82,81,0,0,11.4,extremely high,moderate,low
Switzerland,46.818188,8.227512,1,0,0,0,1,1,16,20,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,76,83,0,0,10.0,very high,moderate,very low
Syria,34.802075,38.996815,60,61,27,28,37,39,66,66,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,0,0,0,0,23.69,moderately high,low,low
Tajikistan,38.861034,71.276093,87,88,1,2,0,0,0,0,ultra high,ultra high,ultra high,ultra high,very high,high,0,0,0,0,0,0,0,0,30.76,high,low,moderately low
Thailand,15.870032,100.992541,1,1,0,0,0,0,21,21,ultra high,ultra high,extremely high,ultra high,moderately high,very high,0,0,0,0,40,47,98,99,10.34,high,moderately low,extremely low
East Timor,8.874217,125.727539,51,48,7,3,12,9,27,22,very high,extremely high,high,high,moderate,moderately high,0,0,0,0,0,0,82,85,29.42,very high,very low,very low
Togo,8.619543,0.824782,1,7,2,4,15,28,47,66,extremely high,very high,moderately high,moderately low,moderately low,very low,19,40,16,20,0,0,0,0,33.11,extremely high,very low,extremely low
Tokelau,9.2002,171.8484,20,0,0,0,0,0,53,30,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,0,0,0,0,0.0,extremely low,extremely low,extremely low
Tonga,21.178986,175.198242,0,0,0,0,6,4,43,33,ultra high,ultra high,high,very high,moderate,moderately high,0,0,0,0,0,0,99,100,24.3,extremely high,extremely low,extremely low
